tree_re,tree_im,ep0_re,ep0_im,epm1_re,epm1_im,epm2_re,epm2_im
1.17193840126211010e-003,2.19181187323307580e-003,2.22283757149541617e-004,-3.84919587218745867e-003,-1.36466651590835450e-004,-6.69890938535146218e-004,-2.93457810985257281e-005,-5.48837988177984783e-005
2.26478295420589563e-003,-2.07648182149102346e-003,-4.82447269286313297e-003,8.87023970078670843e-004,-7.60281430511956942e-004,3.69137839011462045e-004,-5.67110223018130245e-005,5.19958906741965594e-005
-2.26732370286169367e-003,9.19136560066921397e-003,1.09032034223381750e-002,-1.14532734040128127e-002,1.32065530594632189e-003,-2.24421630096542949e-003,5.67746436095361112e-005,-2.30155273199565219e-004
2.50085624933956080e-003,-1.00822395640670680e-003,-4.21416351923518083e-003,-9.54366708893977702e-004,-7.38467260277884670e-004,6.90047500525023719e-005,-6.26223869558692546e-005,2.52463094403385959e-005
-4.11443762063712359e-003,2.48108131394178142e-003,7.82992840512038678e-003,4.28533954347600984e-004,1.27962559333562841e-003,-3.30272434426160299e-004,1.03027075168457777e-004,-6.21272150895937290e-005
-1.02549627231336444e-002,5.78144183540370022e-003,1.84938871620997022e-002,1.19265306256500624e-003,3.15771942726929657e-003,-7.17097705421523911e-004,2.56788147675311793e-004,-1.44769491599948136e-004
-1.02111995660730359e-003,-5.16589703472590533e-003,-2.95742960344616296e-003,8.06737515860773101e-003,-1.37246117281151310e-004,1.44190969806770228e-003,2.55692301662889740e-005,1.29356016832331061e-004
-6.73576706319788283e-003,7.97177608659589872e-003,1.57189645589113219e-002,-4.58674223406558244e-003,2.40246716371498442e-003,-1.57125009521729992e-003,1.68666156476485809e-004,-1.99616290202504667e-004
2.71747364855414190e-004,3.29024066715359652e-003,4.59847615091431381e-003,-3.76839203463545267e-003,1.87207499166045573e-004,-8.88590084841891625e-004,-6.80465685828278220e-006,-8.23888715312769544e-005
1.77728144136160408e-004,1.88241041043298279e-004,-1.31880752646590984e-004,-3.88712112692635701e-004,-3.20357215225679776e-005,-6.35961949555482927e-005,-4.45037999207422639e-006,-4.71362690934268259e-006
